en,bn
Minuzin,মিনুজিন
Jayantir,জয়ন্তীর
hothlen,হঠলেন
Metachchhen,মেটাচ্ছেন
totthoprojuktite,তথ্যপ্রযুক্তিতে
mulote,মুলতে
Bhadreswarer,ভদ্রেশ্বরের
Dhirubhai,ধীরুভাই
Gandhinagar,গান্ধীনগর
bodolta,বদলটা
Meruke,মেরুকে
Somosyagrosto,সমস্যাগ্রস্ত
Shankarbabuke,শঙ্করবাবুকে
Araishotomo,আড়াইশোতম
BYJM,বিওয়াইজেএম
431,৪৩১
Sakkhatkarke,সাক্ষাত্কারকে
Anemia,অ্যানিমিয়া
MDS,এমডিএস
Nafazgar,নফজগড়ের
Nafazgar,নফজগড়ের
Nareshbabur,নরেশবাবুর
Shoytanke,শয়তানকে
Mantrirai,মন্ত্রীরই
Durgotir,দুর্গতির
Maramari e,মারামারিই
Netanetrike,নেতানেত্রীকে
Baritake,বাড়িটাকে
Kriramontrok,ক্রী়ড়ামন্ত্রক
Chandu,চান্দু
Flood,ফ্লাড
Biggan,বিঞ্জান
chorongite,চৌরঙ্গিতে
Misspass a,মিসপাসে
Pawatei,পাওয়াতেই
Disorder o,ডিসঅর্ডারও
Premji,প্রেমজি
Orther,অর্থের
Replication,রেপ্লিকেশন
Nice,নাইস
Ward,ওয়ার্ড
Agneoastro,আগ্নেয়াস্ত্রে
Prayoshoi,প্রয়শই
Akroshei,আক্রোশেরই
207 ti,২০৭টি
8tay,৮টায়
project,প্রোজেক্ট
Rabindrasangeet,রবীন্দ্রসঙ্গীতে
Soduddeshyo,সদুদ্দেশ্য
Jadejar,জাদেজার
Shaiman,শাইমান
Dravirder,দ্রাবিড়দের
Mayureshwar a,ময়ূরেশ্বরে
Chhowach o,ছোঁয়াচও
Aloknath,অলোকনাথ
Ahwan,আহ্বানও
8joner e,৮জনেরই
okhondota,অখণ্ডতা
Jotlar,জটলার
Ahujar,আহুজার
Sufi Sadhokder,সুফিসাধকের
jyoti,জ্যোতি
mohasobha,মহাসভা
chitronatyeo,চিত্রনাট্যেও
park tite,পার্কটিতে
victim,ভিক্টিম
sudhthu,শুধথু
Interiam,ইন্টেরিম
janiyechhi-,জানিয়ে‌ছি”—
octopus,অক্টোপাস
collegechhatrike,কলেজছাত্রীকে
safe er,সেফের
nishchinto,নিশ্চিম্ত
para,পাড়া
shrinkholarokkhar,শৃঙ্খলারক্ষার
mahomer,মাহমের
basindar,বসিন্দার
nodi e,নদীই
pelo,পেলো
mojben,মজবেন
Ibrahimovij,ইব্রাহিমোভিচ
kambli,কাম্বলি
futleo,ফুটলেও
bagbitonda,বাগবিতণ্ডাও
jetsoho,জেটসহ
sakulye,সাকূল্যে
nahina,নাহিনা
suresh,সুরেশ
DRI,ডিআরআই
Bhokkom,ভক্কম
poribeshito,পরিবেশিত
kadune,কাঁদুনে
sob orthei,সবঅর্থেই
choritrabhineta,চরিত্রাভিনেতা
shorgole,শোরগোলে
somuchit,समुचित
osohayota,অসহয়তা
sohojotomo,সহজতম
torar,তোড়ার
syria,সিরীয়
hamidke,হামিদকে
komachche,কমাচ্ছে
namanoy,নামানোয়
bolabahullo,বলাবাহুল্য
samleyi,সামলেই
nawaz,নওয়াজ়
goruk,গড়ুক
obhighater,অভিঘাতের
ambiyar,আম্বিয়ার
rupei,রূপেই
mairya,মাইর‌্যা
smaranika,স্মরণিকা
shorts er,শর্টসের
pore,পড়ে
joygourobe,জয়গৌরবে
mote-,মতে—
porikolponamafik,পরিকল্পনামাফিক
manikmala,মানিকমালা
jayantanarayanbabu,জয়ন্তনারায়ণবাবু
nichu,নিচু
jonmodatrike,জন্মদাত্রীকে
sorbe,সর্বে
CV te,সিভিতে
sobmohole,সবমহলে
enei,এনেই
somajtottobid,সমাজতত্ত্ববিদ—
commercial,কর্মাশিয়াল
legbai,লেগবাই
sasural,সসুরাল
fogninike,ফগনিনিকে
tintiner,টিনটিনের
ekhankar e,এখানকারই
ainjibider o,আইনজীবীদেরও
babad,বাবাদ
turosko o,তুরস্কও
531 ti,৫৩১টি
brosnaner,ব্রসনানের
yajubendra,যজুর্বেন্দ্র
netajinagarer,নেতাজিনগরের
sarnath a,সারনাথে
protha e,প্রথাই
hostokkhepkeo,হস্তক্ষেপকেও
byadher,ব্যাধের
dampotyokoloho,দাম্পত্যকলহ
moresh,মোরেস্ক
jeddar,জেড্ডার
matrachhara,মাত্রাছাড়া
rayra,রায়রা
tahai,তাহাই
obhijuktorao,অভিযুক্তরাও
potakatir,পতাকাটির
etokal,এতকাল
anchorer,অ্যাঙ্করের
kid,কিড
katakati,কাটাকটি
athasher,আঠাশের
bhawanipur,ভবনীপুর
chotkay,চটকায়
gujober,গুজবের
samaresh,সমরেশ
shobdoguloke,শব্দগুলোকে
abel,আবেল
pronoto,প্রণত
mul obhijukto,মূলঅভিযুক্ত
politburo,পলিটব্যুরো
khotiye,ক্ষতিয়ে
suhani,সুহানি
oderkeo,ওঁদেরকে
bosonteo,বসন্তেও
keshtoke,কেষ্টকে
seven,সেভেন
nabhi,নাভি
abashthar,আবস্থার
stance a,স্টান্সে
rough gulo,রাফগুলো
bhangamath,ভাঙামাঠ
chingrighatay,চিংড়িঘাটায়
samsul,সামসুল
pandai,পাণ্ডাই
videogulite,ভিডিওগুলিতে
konodin e,কোনদিনই
menendey's,মেনেনদেজ
almodover,আলমোদোভার
ontordrishtir,অন্তর্দৃষ্টির
bramha,ব্রহ্মা
karna o,কর্ণএ
ramjibanpur,রামজীবনপুর
manushike,মানুষীকে
benting,বেন্টিং
muzaffarabad,মুজফ্‌ফরবাদের
flavoured,ফ্লেভারড
sobujkoli,সবুজকলি
gangulybagan a,গাঙ্গুলিবাগানে
tourist hoyei,ট্যুরিস্টহয়েই
bahaduri,বাহাদুরি
sthanioder o,স্থানীয়দেরও
jeneo,জেনেও
bharabari,ভাড়াবাড়ি
hamarez,হেমারেজে
sreelekha,শ্রীলেখা
quantico te,কোয়ান্টিকোতে
ayinsobha,আইনসভা
deepankarbabu,দীপঙ্করবাবুর
poridorshone,পরিদর্শনে
yelan,ইয়েলান
gava,গাভা
october  ei,অক্টোবরেই
nostalgic,নস্টালজিক
bagpacking,ব্যাকপ্যাকিং
alan,অ্যালান
tola,তোলা
grihodhuder,গৃহূধুদের
hazra,হাজরা
nikhanj,নিখাঞ্জ
niyechhe,নিযেছে
khara,খাঁড়া
sota,সোটা
poshchimijhonja,পশ্চিমীঝঞ্ঝা
sportsman der,স্পোর্টসম্যানদের
kuldeep,কুলদীপ
IT,আইটি
Thesis,থিসিস
DCDD,ডিসিডিডি
prokriys ta,প্রক্রিয়াটা
jinjirabazar a,জিঞ্জিরাবাজারে
murtazar,মুর্তাজার
dugal,দুগল
khatun o,খাতুনও
siddiqi ra,সিদ্দিকিরা
gherar,ঘেরার
13b,১৩বি
turturi,তুড়তুড়ি
jhandake,ঝান্ডাকে
ekmone,একমনে
totodhik,ততোধিক
selta,সেল্টা
murubbi,মুরুব্বি
proctorer,প্রোক্টরের
totporota-duiyer,তৎপরতা—দুইয়ের
hoseliner,হোসেলিনের
submarine,সাবমেরিন
wapsi,ওয়াপসি
deepika-,দীপিকা—
debgram,দেবগ্রাম
ghoti,ঘটি
dingulitei,দিনগুলিতেই
sombar o,সোমাবারও
podokkhep o,পদক্ষেপও
sobur,সবুর
simanto,সীমান্ত
jilapi,জিলাপি
obhijukter o,অভিযুক্তেরও
utpotti,উত্‍পত্তি
rothguli,রথগুলি
eusara,ইউসারা
gujguj,গুজগুজ
rastagulite,রাস্তাগুলিতে
somadhaner,সমধানের
looker,লুকের
manobikota,মানবিকতা
bodhti,বোধটি
PV,পিভি
poricharikao,পরিচারিকাও
machine tio,মেশিনটিও
mangsolo,মাংসল
EEE,ইইই
Trinamuleo,তৃণমূলেও
Nitish,নীতিশ
Soumyajit ke,সৌম্যজিৎকে
Gyanendra,জ্ঞানেন্দ্র
bene,বেনে
sonkhai,সংখ্যাই
dolti,দলটি
shewaler,শেওয়ালের
surjalok,সূর্যালোক
Accident,অ্যাকসিডেন্টে
binar,বীনার
gyaneshwari,জ্ঞানেশ্বরী
SSTF,এসসটিএফ
poekkhakrito,অপেক্ষাকৃত
numerology,নিউমেরোলজি
haryana,হরিয়ানা
650,৬৫০
bideshini e,বিদেশিনিই
showroom eo,শোরুমেরও
hanake,হানাকে
jomjomat,জমজমাট
bekarotter,বেকারত্বের
obilombei,অবিলম্বেই
lenden,লেনদেন
rajbongsike,রাজংশীকে
remarks o,রিমার্কসও
inshallah,ইনশাল্লাহ
email ti,ইমেলটি
grihodhuder,গৃহধূদের
gardenricher,গার্ডেনরিচের
kanchraparar,কাঁচরাপাড়ার
gele,গেলে
darkak,দাঁড়কাগ
jadejake,জাদেজাকে
nobojatok,নবাজাতক
senegaler,সেনেগালের
bloodiest,ব্লাডিয়েস্ট
folk,ফোক
gobre,গোবরে
monovongir,মনোভঙ্গির
puloi,পুলই
bashdroni,বাঁশদ্রোনী
bohubidho,বহুবিধ
system,সিস্টেম
loveri,লোভেরই
byaybohon,ব্যয়বহন
proshashonke,প্রশাসনকে
niontroner,নিয়ন্ত্রণের
bhateri,ভাতেরি
kaderir,কাদরির
leskian,লেসকিয়ান
chattapadhyay,চট্টপাধ্যায়
attiyosojonra,আত্মীয়স্বজনরা
sundor,সুন্দর—
nirapottakormira,নিরাপত্তাকর্মীর
bagichai,বাগিচায়
molo,মলও
lehenga,লেহেঙ্গা
biswabidyaloyei,বিশ্ববিদ্যালয়েই
552 ti,৫৫২টি
badhoi,বাধই
urmik,ঊর্মিকে
tour,ট্যুর
bayoyari,বায়োয়ারি
rathore,রাঠোর
chan,চ্যান
sobinoyone,সবিনয়নে
bivajonta,বিভাজনটা
biswabidyaloygulir,বিশ্ববিদ্যালয়গুলির
bnaker,বাঁকের
nostalgic,নস্ট্যালজিক
fin,ফিন
bahulyo,বাহুল্যে
hefajoter,হেফাজতের
roade,রোডে
irfan,ইরফান
dhakira,ঢাকিরা
vogoban,ভগবান
sonar,শোনার
hither,হিথের
libertyke,লিবার্টিকে
anjanbabu,অঞ্জনবাবু
poya,পোয়া
travels,ট্রাবলস
battinger,ব্যাটিংয়ের
gohin,গহীন
atletico,অ্যাতলেতিকো
tidi,টিডি
ushmar,উষ্মার
edither,এডিথের
sebakendro,সেবাকেন্দ্র
salauddin,সালাউদ্দিনও
borono,বর্ণও
build,বিল্ড
halhakikat,হালহকিকত্
sobdobondhe,শব্দবন্ধে
noudar,নওদার
ramanather,রমানাথের
taroi,তেরই
stuwartsder,স্টুয়ার্টদের
kothatukui,কথাটুকুই
hajel,হ্যাজেল
autochaker,অটোচাকের
bjpkormi,বিজেপিকর্মী
konta,কোন্তা
jharkhand ke,ঝাড়খণ্ডকে
chormorog,চর্মরোগ
bitto,বিত্ত
ishasra,ইশারা
kornojit,কর্ণজিত
kotak,কোটাক
abchayate,আবছায়াতে
mayanmarer,মায়েনমারের
sordder,শরদদের
krishoner,কৃষণের
marandir,মারান্ডির
grotos,গ্রোটোস
ayojone,আয়োজনে
washimer,ওয়াসিমের
bulurani,বুলুরানি
chapieo,চাপিয়েও
byahar,ব্যহার
prithibitake,পৃথিবীটাতে
somvoboi,সম্ভবই
utshobe,উত্‍সবে
gorlen,গড়লেন
ebaro,এবরো
laborotoryte,ল্যাবরেটরিতে
sahjahankeo,শাহজাহানকেও
akbori,আকবরি
pocketmar der,পকেটমারদের
soucho,শৌচ
traile,ট্রায়ালে
ranjanbabu,রঞ্জনবাবু৷
poromdharma,পরমধর্ম
dur,দূর—
programming,প্রোগ্রামিং
tyagsikarer,ত্যাগস্বীকারএর
224 jon,২২৪জন
bha,ভা
soptahoke,সপ্তাহকে
natsira,নাৎসিরা
obamakeo,ওবামাকেও
gomser,গোমসের
seshchesta,শেষচেষ্টা
kharagpurke,খড়গপুরকে
krishon,কৃষণ
beshkoyekjoner,বেশকয়েকজনের
railjatrii,রেলযাত্রীই
daktei,ডাকতেই
dongsoner,দংশনের
jutingke,জুটিংকে
took,টুক
obhijogkarie ,অভিযাগকারীই
soriker,শরিকের
modir,মোদীর—
Allowances,অ্যালাওয়েন্সেস
LBW,এলবিডবলুউ
bad,ব্যাড
moriavabe,মরিয়াভাবে
joyjit,জয়জিত্‍
chikitsok,চিকিৎসকে
bormance,ব্রোম্যান্স
Australio,অস্ট্রেলীয়
romance,রোম্যান্স
romance,রোম্যান্স
bakswadhinatay,বাক্‌স্বাধীনতায়
korinao,করিনাও
churno,চূর্ণ
pranpat,প্রাণপাত
robindrasangiteo,রবীন্দ্রসঙ্গীতেও
rogtake,রোগটাকে
atotao,আঁতাঁতও
darbite,ডার্বিতে
thin,থিন
porlen,পড়লেন
khelai,খেলাই
fatanor,ফাটানোর
jenote,জেনতে
chithi,চিঠি
kirtite,কীর্তিতে
likes,লাইক্‌স
srijatoda,শ্রীজাতদা
bishoytike,বিষয়টিকে
bolben,বলবেন—
putroi,পুত্রই
keotjalir,কেওটজালির
roshnole,রোষানলে
golabari,গোলাবাড়ি
roadmap o ,রোডম্যাপও
rokomoi,রকমই
alokchitro,আলোকচিত্রী
sariteo,সারিতেও
cycletite,সাইকেলটিতে
murtir,মূর্তির
destination,ডেষ্টিনেশন
meghraj,মেঘরাজ
ghosalo,ঘোষালও
bhawal,ভাওয়াল
towel,টাওয়েল
miake,মিয়াঁকে
peter ke,পিটারকে
police,“পুলিশ
pan,পান
konyake,কন্যাকে
torkobitorko,তর্কবিতর্ক
shopaat,সপাট
shottyo,স্বত্ত্ব
bodlio,বদলিও
dima,ডিমা
student-ke,স্টুডেন্টকে
oidin,ওইদিন
shohortolir,শহরতলির
gota-chaarek,গোটাচারেক
korimul,করিমুল
shuye,শুয়ে
bojrobidyut,বজ্রবিদ্যুত্
32GBr,৩২জিবির
maaraaro,মারারও
plan-gulo,প্ল্যানগুলি
dekhata,দেখাটা
sheiti-e,সেইটিই
paarbei,পারবেই
niyechhish,নিয়েছিস
lekhikar,লেখিকার
Homemaker's,হোমমেকারের
Income,ইনকাম
6th place,ষষ্ঠস্থানে
Gayatri Devi,গায়ত্রীদেবী
The bridge,সেতুটি
Catch,ক্যাচ
Valentine's,ভেলেনটাইন্স
Milo,মাইলো
Tapasi,তাপসি
In fifty five,পঞ্চান্নয়
Hyderabad's,হায়দরবাদের
Siddi,সিদ্দি
Poridhi,পরিধি
Bojhaano,বোঝানো
Helmettio,হেলমেটটিও
Shonghorshobirotio,সংঘর্ষবিরতিও
Shwaamike,স্বামীকে
Shomokaaleender,সমকালীনদের
Pnouchheo,পৌঁছেও
Haarbe,হারবে
Adyokshar,আদ্যক্ষর
Channel,চ্যানেল
Hello,বিন্যাসের
Submit,স্প্যান
huhuh,গুঁতোয়
sojyasangini,শয্যাসঙ্গিনী
byaktiria,ব্যাকটিরিয়া
sondehe,সন্দেহে
ruku,রুকু
mande,মানডে
jatrisurakshar,যাত্রীসুরক্ষার
progyan,প্রজ্ঞান
purkaiter,পুরকাইতের
jatugrihe,জতুগৃহে
KD,KD
Cover,ঘেরাও
cream,মালাই
Hi,কবিতচর্চা
Samnay,সামনায়
bediapara,বেদিয়াপাড়ার
Mohonpure,মোহনপুরে
Amul,আমূল
bowbazaarer,বউবাজারের
soumenbabur,সৌমেনবাবুর
mascoter,ম্যাসকটের
kothopothon,কথপোকথন
badromer,বার্দেমএর
Bohemian,বোহেমিয়ান
Susmader,সুষমাদের
Nainnaught,নাইনটি
jetenni,জেতেননি
Chuteche,ছুটেছে
Shong,সং
tonira,টনিরা
Kumira,কুমিড়া
makhe,মাখে
rakheni,রাখেনি
,রশিদও
,লিটেরারি
,দশবছরে
,জ্যোতিকা
,প্রতিদ্বন্দ্বিতার
,শোএর
,অখ্যাত
Hello,হইতে
holiday,৩১২টি
gaan,গান
durgapujar,দুর্গাপূজার
bhaber,ভাবের
samalochanay,সমালোচনায়
choriye,চড়িয়ে
trademarker,ট্রেডমার্কের
thako,থাকো
fullformeh,ফুলফর্মে
Bikromjit keh,বিক্রমজিৎকে
peyare,পিয়ারে
disha keh,দিশাকে
dhonnoban,ধন্যবান
jawanera,জওয়ানেরা
shibgonjer,শিবগঞ্জের
Innings eri,ইনিংসেরই
mash choyek,মাসছয়েক
UPSCr,ইউপিএসসির
criticism,ক্রিটিসিজ্‌ম
jujubhendro,জুজভেন্দ্র
Dinotaar,দীনতার
seniya,সেনিয়া
doshi der,দোষীদের
Belle Vue teh,বেলভিউতে
pabo,পাবো
block i,ব্লকই
182 tomo,১৮২তম
offset er,অফসেটের
expiry ,এক্সপায়ারি
brindabon ei,বৃন্দাবনেই
cherechilen,ছ‌েড়েছিলেন
card er,কার্ডের
rooposhi,রূপসি
podh oh,পদও
semen,সেমেন
imran er,ইমরানের
sharmishtha,শর্মিষ্ঠা
taimur keh,তৈমুরকে
supplementary,সাপ্লিমেন্টারি
aposh,আপোস
bakswadhiontai,বাক্‌স্বাধীনতায়
honneh,হন্যে
mey taake,মেটাকে
doftorhin,দফতরহীন
jholai,ঝোলেই
bathtub,বাথটব
Sangakara,সঙ্গাকারা
Raghabendra,রাঘবেন্দ্র
koyejona,কয়জনা
punnolabh,পুণ্যলাভ
chikitshokder,চিকিৎসকদের
polashi,পলাশি
gilish,গিলিস
Jagdalpur,জগদলপুর
Basudeb,বাসুদেব
swadgondhe,স্বাদগন্ধে
Economy r,ইকোনমির
palcche,পালাচ্ছে
oi dinei,ওদিনই
Narada kandeh,নারদাকাণ্ডের
specially,স্পেশ্যালি
Damien,ড্যামিয়েন
Adopeo,আদপেও
Phagunei,ফাগুনেই
756,৭৫৬
protibarer,প্রতিবারের
BDO r,বিডিওর
Juthika,যুথিকা
Koyekti,কয়ে‌কটি
porbotarohi keh,পর্বতারোহীকে
porbotarohi keh,পর্বতারোহীকে
Letters er,লেটার্সএর
982 jon,৯৮২জন
Mary's,মেরিজ
1821,১৮২১
Uddharkendro,উদ্ধারকেন্দ্রে
Somporno keh,সমর্পণকে
Power,পাওয়ার
niyombondhoner,নিয়মবন্ধনের
polish,পলিশ
schoolporuao,স্কুলপড়ুয়াও
goriyeo,গড়িয়েও
ekjonei,একজনই
astro turf eh,অ্যাস্ট্রোটার্ফে
protigga tah,প্রতিজ্ঞাটা
chotojaat,ছোটজাত
Abesh er,আবেশর
Trivia,ট্রিভিয়া
Palaniswami,পালানিস্বামী
Ontorbortikaalin,অন্তর্বতিকালীন
jotrototro,যত্রতত্র
kakarao,কাকারাও
Abhigyotai,অভিজ্ঞতায়
Bhog,ভোগ
Chalisha,চালিসা
Chikitshokmohole,চিকিত্সকমহলও
khaledaar,খালেদার
eh ghotonai,এঘটনায়
my,বাগলে
his,টয়
flayer,ফ্লেয়ার
mithyar,মিথ্যার
ostiner,অস্টিনের
action,অ‌্যাকশন
sukhanuvutir,সুখানুভূতির
nationaler,ন্যাশনালের
bri,ব্রি
ouf,উফ্
quince,কুইন্স
oitihashikrao,ঐতিহাসিকরাও
tinisen,তিনি—শেন
bhumiputrer,ভূমিপুত্রের
dampoty,দাম্পত্য
bodrinath,বদ্রিনাথ
formti,ফর্মটি
umtiti,উমতিতি
girlfirendser,গার্লফ্রেন্ডসএর
dhonekhali,ধনেখালি
therapist,থেরাপিস্ট
missileke,মিসাইলকে
poshuke,পশুকে
254,২৫৪
rabonbodher,রাবণবধের
stacy,স্ট্যাসি
surojit,সুরজিত্
four,ফোর
shastiri,শাস্তিরই
traingulitei,ট্রেনগুলিতেই
bijlio,বিজলীও
bijlio,বিজলীও
natukepona,নাটুকেপনা
layla,ল্যায়লা
TRCC,টিআরটিসি
yasirer,ইয়াসিরের
borofghore,বরফঘরে
bhortikoranor,ভর্তিকরানোর
dehi,দেহী
muhurtotake,মুহূর্তটাকে
paint,পেন্ট
ebarite,এবাড়িতে
"""serokom",“সেরকম
rahulbaba,রাহুলবাবা
tester,টেস্টের
bisforito,বিস্ফোরিত
rUpli,রূপলি
kenata,কেনাটা
prithbIke,পৃথ্বীকে
bhongike,ভঙ্গিকে
depositey,ডিপোজিটে
soranor,সরানোর
onubhutitir,অনুভূতিটির
flavourer,ফ্লেভারের
krira,ক্রীড়া
porichhonotar,পরিছন্নতার
headphone,হেডফোন
porirkorer,পর্রীকরের
hIranagar,হীরানগর
kobimanosikota,কবিমানসিকতা
magiciander,ম্যাজিশিয়ানের
bekarottoo,বেকারত্বও
commandkeO,কমান্ডকেও
fincher,ফিঞ্চের
maharajganj,মহারাজগঞ্জ
bandalapalli,বন্দলাপল্লি
dour,দৌড়
amayake,অমায়াকে
noranor,নড়ানোর
podostho,পদস্থ
thorax,থোরাক্স
Decemberkei,ডিসেম্বরকেই
Hrid,হৃদ
Ronokhetrer,রণক্ষেএের
SaniarO,সানিয়ারও
ayank,অ্যাঙ্ক
Bikroychukti,বিক্রয়চুক্তি
Serialei,সিরিয়ালেই
Majhrastay,মাঝরাস্তায়
Arghadeep,অর্ঘদীপ
Obhijoger,অভি‌যোগের
Bondher,বনধে্‌র
Bondher,বনধে্‌র
Onubhuti,অনুভুতি
Kitobha,কিটোভা
bhorodwajo,ভরদ্বাজও
korao,করাও
sorbostorjure,সর্বস্তরজুড়ে
bargey,বার্গে
peyechilam,পেয়েছিলাম
bichyuti,বিচ্যুতি
ongshidaritwo,অংশীদারিত্ব
durlobh,দুর্লভ
hnaaser,হাঁসের
hefajoteo,হেফাজতেও
bachhake,বাচ্চাকে
prapter,প্রাপ্তের
geyei,গেয়েই
mohamari,মহামারী
namale,নামালে
seemar,সীমার
toiri-,তৈরি—
amishke,আমিষকে
khamra,খামরা
chakritao,চাকরিটাও
obhinobotweo,অভিনবত্বেও
shorotkanone,শরৎকাননে
bishwobidyeloyer,বিশ্ববিদ্যেলয়ের
dawaiye,দাওয়াইয়ে
kimbhutke,কিম্ভুতকে
bishalakriti,বিশালাকৃতি
poroner,পরনের
ds,{{ word }}
d,{{ word }}
jhimjhime,ঝিমঝিমে
NHRCL,এনএইচআরসিএল
somajkeo,সমাজকেও
parei,পারেই
Bangladeshi,বাংলাদেশি
Scorching,দাবদাহে
Scavenged,কুড়িয়েছিল
Tiriseroi,তিরিশেরই
Noukabihar,নৌকাবিহার
Willer,উইলের
Mygraindiser,মাইগ্রেনডিসার
Prohiror,প্রহীরর
Dito,দিত
Nirangsubabu,নীরাংশুবাবু
Fashion,ফ্যাশান
Pennsylvaniay,পেনসিলভেনিয়ায়
Netraloyer,নেত্রালয়ের
Panchet,পাঞ্চেত
Mujer,মিউজএর
Adlof,অ্যাডলফ
Foloi,ফলই
Royeche,রয়েছে
Sherpader,শেরপাদের
Samsherganj,সামসেরগঞ্জ
Udjapito,উদযাপিত
Banke,বাঁকে
Eyeshadow er,আইশ্যাডোর
Rajendrasingha,রাজেন্দ্রসিংহ
Takapoysao,টাকাপয়সাও
torai,তোড়াই
popy,পপি
omorer,অমরের
asostho,আশ্বস্থ
ghorao,ঘোরাও
orunabhoke,অরুণাভকে
Drosta,দ্রষ্টা
Krishokneta,কৃষকনেতা
Leparder,লেপার্ডের
hegemony,বোড়াল
Kobita,জয়রামবাটিতেই
Communist,কমিউনিস্ট
Chho minite,ছমিনিটে
Metere,মিটারে
Manpact,ম্যানপ্যাক্ট
Tokkor,টক্কর
Karatke,কারাটকে
Niye,নিয়ে
Chhutam,ছুটলাম
Ashanuroop,আশানুরূপ
Kopoorera,কপূরেরা
Activa,অ্যাক্টিভা
Jubayar,জুবায়ার
Ke em di a,KMDA
Robisyarer,রবিস্যারের
Helafelar,হেলাফেলার
Sidhhopeeth,সিদ্ধপীঠ
jholoker,ঝলকএর
Bormake,বর্মাকে
voucherguli,ভাউচারগুলি
pattanayk,পট্টনায়েক
oboredhkei,অবরোধকেই
krishokrai,কৃষকরাই
international,ইন্টারন্যাশন্যাল
judhyobimanguli,যুদ্ধবিমানগুলি
joraini,জড়ায়নি
muhurtotake,মুহূর্তটাকে
Utkontha,উত্কন্ঠা
Rahulbabu,রাহুলবাবু
Preronkarir,প্রেরণকারীর
Laalmaatir,লালমাটির
Khaalpaare,খালপাড়ে
Pungob,পুঙ্গব
Authority,অথিরিটি
Toirir,তৈরির
Onasthar,অনাস্থার
Narinke,নারিনকে
timeri,টিমেরই
milijhuli,মিলিঝুলি
songeetmohol,সঙ্গীতমহল
biplobdin,বিপ্লবদিন
omanobikotar,অমানবিকতার
parongomera,পারঙ্গমেরা
horiyanake,হরিয়ানাকে
huiski,হুইস্কি
karori,কারোরই
vengara,ভেঙ্গারা
kordatara,করদাতা
gange,গাঙে
Dudhanto,দু্র্দান্ত
Gayatri,গায়ত্রী
Kasi,কাঁসি
Shona,শোনো
Uthbe,উঠবে—
Danhaathta,ডানহাতটা
Nobobihahito,নববিবাহিত
Duatei,ধোঁয়াতেই
Sotkar,সৎকার
Rambagane,রামবাগানে
Durga,দুর্গা—
Howrahgaami,হাওড়াগামী
Nemaro,নেমারও
Milak,মিলক
Bideshira,বিদেশিরা
bujhiyeo,বুঝিয়েও
obotarona,অবতারণা
rote,রোতে
facebook kei,ফেসবুককেই
binitovabe,বিনীতভাবে
domonpironer,দমনপীড়নের
nu,ণু
byapar,ব্যাপারে
planta,প্ল্যানটা
ud,উড
nurke,নূরকে
Restaurant,রেস্তোঁরা
Player,খেলোয়াড়
Catagorytei,ক্যাটেগরিতেই
Bahu,বাহু
Semiolis,সেমিওলজি
MPS er,এমপিএসের
Dekhenni,দেখেননি—
Damani,দামানি
Improvement,ইমপ্রুভমেন্ট
Arya,আর্য
Neerja,নির্জা
bemonto,বেমন্ত
sorbohara,সর্বহারা
a,এ
apyaoner,আপ্যায়নের
bigyani,বিজ্ঞানী
sikkhabybostha,শিক্ষাব্যবস্থা
284t,২৪৮টি
myanikiner,ম্যানিকিনের
there,থেরে
noirajjer,নৈরাজ্যের
tobosumer,তবসুমের
erimddhe,এরইমধ্যে
11september,১১সেপ্টেম্বর
unforced,আনফোর্সড
thalite,থালিতে
dayottoboddhotay,দায়বদ্ধতায়
thornoton,থর্নটন
kokkor,কক্কর
liborte,লিবর্তে
bonkortar,বনকর্তার
arnober,অর্ণবের
punohprotistha,পুনঃপ্রতিষ্ঠা
jaygagulike,জায়গাগুলিকে
charao,ছাড়াও
khoriddark,খরিদ্দারকে
bidyapati,বিদ্যাপতি
kendreo,কেন্দ্রেও
porishishto,পরিশিষ্ট
trivia,ট্রিভিয়া
dhelechile,ঢেলেছিল
panchjon,পাঁচজন
onnopokkher,অন্যপক্ষের
odhinotar,অধীনতার
eirokom,একইরকম
reshareshir,রেষারেসষির
adorshogotovabe,আদর্শগতভাবে
somoye,সময়ে৷
lini,লিনই
hand,হ্যান্ড
road,রোড
addadhari,আড্ডাধারী
mashoyara,মাসোয়ারা
hijack,হাইজ্যাক
Mukhopatrer,মুখপাত্রের
Lethargy,শ্লথতা
To four,চারজনকে
World cup,বিশ্বক্রীড়ায়
The way of life,জীবনযাত্রা
Full scale,পূর্ণমান
Roghunondon,রঘুনন্দন
Obosthae,অবস্থায়
Tha,থা
Kalarosh,কালারস
Shekal,সেকাল
Juriye,জুড়িয়ে
Kumri,কুমড়ি
Inchite,ইঞ্চিতে
Kolapur,কোলাপুর
Korobhi,কড়ভি
Mutrotyage,মূত্রত্যাগে
Navy,নেভি
Anwar,আনওয়ার
Iazuddin,ইয়াজউদ্দিন
Committee o,কমিটিও
School ke,স্কুলকে
Bador,বাদর
Bador,বায়ো
Slamer,স্ল্যামের
Dorta,ডরতা
Neotiara,নেওটিয়ারাও
Shalinir,শালিনীর
Bhabnar,ভাবনার
GTA er,জিটিএর
Mugdhota,মুগ্ধতা
Tummo,টুম্ম
Mouryashason,মৌর্যশাসন
Biharke,বিহারকে
Melachchhen,মেলাচ্ছেন
Maronastro,মারণাস্ত্র
Mohasobhao,মহাসভাও
